iter	Logloss
0	0.6765528389
1	0.6601874117
2	0.6453285847
3	0.6301557956
4	0.6156354965
5	0.6022971186
6	0.5916675737
7	0.5841487512
8	0.5744330859
9	0.5672083182
10	0.5595458444
11	0.5519650329
12	0.5475594595
13	0.5432310708
14	0.5374371004
15	0.5340228032
16	0.530282673
17	0.5253804215
18	0.5214742764
19	0.5175347631
20	0.5143754328
21	0.5113547154
22	0.509687036
23	0.5071183406
24	0.5035420407
25	0.5011880286
26	0.4984466122
27	0.4965273876
28	0.4948615994
29	0.4933979042
30	0.4928075119
31	0.4909769694
32	0.4891492607
33	0.4876074695
34	0.4842553253
35	0.4833966546
36	0.4815807629
37	0.4801651492
38	0.4788685256
39	0.4778068879
40	0.4777013169
41	0.476721147
42	0.4742543094
43	0.4734004312
44	0.4707661824
45	0.4705860777
46	0.4692320112
47	0.4684106971
48	0.4678139122
49	0.4666558435
50	0.4643458895
51	0.4630842193
52	0.4620485248
53	0.4607723765
54	0.4588047548
55	0.4580102511
56	0.4562504981
57	0.4556810766
58	0.4554018865
59	0.4539298882
60	0.4529798485
61	0.4519989856
62	0.4505729358
63	0.449616177
64	0.4488890285
65	0.4480035158
66	0.4471272541
67	0.446248433
68	0.4453125608
69	0.4443819964
70	0.4431924301
71	0.4429150461
72	0.4417428548
73	0.4405928174
74	0.4405499716
75	0.4395620209
76	0.43892214
77	0.437497602
78	0.436724808
79	0.4362819141
80	0.4355854357
81	0.4349959214
82	0.4344424161
83	0.4339688025
84	0.4333971163
85	0.4330381519
86	0.4322316282
87	0.4305432224
88	0.4294001843
89	0.4283357323
90	0.4271864772
91	0.4265661451
92	0.4258799904
93	0.4250507497
94	0.4249868672
95	0.4242226923
96	0.423436511
97	0.4230851525
98	0.4220825487
