iter	Passed	Remaining
0	182	90949
1	220	54956
2	264	43846
3	306	37944
4	343	34014
5	383	31586
6	436	30738
7	480	29520
8	525	28693
9	572	28044
10	612	27223
11	652	26546
12	695	26057
13	733	25457
14	777	25131
15	822	24874
16	862	24515
17	908	24335
18	955	24190
19	995	23901
20	1039	23705
21	1090	23696
22	1134	23529
23	1178	23375
24	1220	23196
25	1264	23050
26	1304	22859
27	1344	22671
28	1386	22518
29	1431	22421
30	1458	22065
31	1498	21911
32	1545	21875
33	1627	22301
34	1674	22251
35	1716	22124
36	1761	22038
37	1803	21921
38	1852	21894
39	1892	21763
40	1911	21397
41	1960	21382
42	2015	21419
43	2070	21457
44	2117	21410
45	2134	21061
46	2181	21028
47	2229	20994
48	2274	20930
49	2320	20883
50	2360	20778
51	2404	20717
52	2450	20670
53	2496	20620
54	2552	20648
55	2599	20609
56	2644	20555
57	2689	20499
58	2717	20310
59	2759	20237
60	2809	20221
61	2852	20149
62	2892	20064
63	2940	20033
64	2981	19953
65	3020	19859
66	3074	19867
67	3119	19818
68	3163	19759
69	3215	19751
70	3279	19817
71	3335	19828
72	3381	19781
73	3427	19731
74	3442	19509
75	3488	19460
76	3535	19425
77	3582	19380
78	3633	19362
79	3680	19324
80	3727	19280
81	3776	19249
82	3819	19189
83	3864	19136
84	3915	19116
85	3967	19099
86	4015	19063
87	4075	19079
88	4118	19020
89	4166	18979
90	4210	18924
91	4260	18893
92	4311	18866
93	4358	18825
94	4391	18719
95	4440	18686
96	4482	18623
97	4535	18603
98	4585	18573
